themes,"theme_description","link","variable","domain","variable description"
"Atmosphere",,"https://space.oscar.wmo.int/variables/view/aerosol_optical_depth","Aerosol Optical Depth","Aerosols and radiation","The AOD is the effective depth of the aerosol column from the viewpoint of radiation propagation: Vertical column integral of spectral aerosol extinction coefficient AOD = exp(-K. Δz) where K is the extinction coefficient [km-1 ] and Δz the vertical path [km]"
"Atmosphere",,"https://space.oscar.wmo.int/variables/view/o3_stratospheric_column","O3 Stratospheric Column","Atmospheric chemistry","2D field of total amount of O3 (ozone) molecules per unit area in an atmospheric column extending from tropopause to stratopause"
"Atmosphere",,"https://space.oscar.wmo.int/variables/view/cloud_optical_depth","Cloud optical depth","Clouds and precipitations","Effective depth of a cloud from the viewpoint of radiation extinction. OD = exp(-K.Δz) where K is the extinction coefficient [km-1 ], Δz the vertical path [km] between the base and the top of the cloud and the reference wavelength to be specified in the metadata."
"Atmosphere",,"https://space.oscar.wmo.int/variables/view/hdo","HDO","Atmospheric chemistry","3D field of amount of HDO (Water vapour (with one hydrogen nucleus replaced by its deuterium isotope) , expressed in moles) divided by the total amount of all constituents in dry air (also expressed in moles)"
"Atmosphere",,"https://space.oscar.wmo.int/variables/view/o3_stratospheric_column",Sea-ice thickness,"Atmospheric chemistry","2D field of total amount of O3 (ozone) molecules per unit area in an atmospheric column extending from tropopause to stratopause"
"Cryosphere",,"https://space.oscar.wmo.int/variables/view/sea_ice_thickness",Sea-ice cover,"Sea Ice","Thickness of the ice sheet. It is related to sea-ice elevation and ice density"
"Cryosphere",,"https://space.oscar.wmo.int/variables/view/sea_ice_cover",Sea-ice elevation,"Sea Ice","Fraction of an ocean area where ice is present"
"Cryosphere",,"https://space.oscar.wmo.int/variables/view/sea_ice_elevation","Sea-ice elevation","Sea Ice","Elevation of the surface of the sea-ice sheet above sea level"
"Cryosphere",,"https://space.oscar.wmo.int/variables/view/sea_ice_motion",Snow status (wet/dry),"Sea Ice",Snow status (wet/dry)
"Cryosphere",,"https://space.oscar.wmo.int/variables/view/sea_ice_surface_characteristics","Sea-ice surface characteristics","Sea Ice","Sea-ice surface characteristics (albedo, meltpond, dust, snow properties, temperature)"
"Land",,"https://space.oscar.wmo.int/variables/view/co2_flux",Precipitation type at the surface,"Land surface","Flux of carbon dioxide from the surface to the atmosphere"
"Land",,"https://space.oscar.wmo.int/variables/view/land_cover",CO2 flux,"Land surface","Processed from land surface imagery by assigning identified cluster(s) within a given area to specific classes of objects - Accuracy expressed as number of classes. Actually [ classes-1 ] is used, so that smaller figure corresponds to better performance, as usual."
"Land",,"https://space.oscar.wmo.int/variables/view/lake_area",Earth surface short-wave bidirectional reflectance,"Land surface","Aera extent of the surface of a lake"
"Land",,"https://space.oscar.wmo.int/variables/view/biomass",Solar-induced chlorophyll fluorescence (SIF),"Land surface","Total amount of vegetation in a reference area - Physical unit: [ t/ha (tons/hectare) ] - Accuracy unit: [ t/ha ]"
"Land",,"https://space.oscar.wmo.int/variables/view/river_discharge",Sea surface height anomaly,"Land surface","Volume of water flowing through a river per unit of time"
"Land",,"https://space.oscar.wmo.int/variables/view/soil_moisture_at_surface",Coastal sea level (tide),"Land surface","Fractional content of water in a volume of wet soil. Surface layer (upper few centimetres)"
"Oceans",,"https://space.oscar.wmo.int/variables/view/ocean_dynamic_topography",Colour Dissolved Organic Matter (CDOM),"Ocean","Deviation of sea level from the geoid caused by ocean currents (after corrections for tides and atmospheric pressure effects) - Physical unit: [ cm ] - Accuracy unit: [ cm ]."
"Oceans",,"https://space.oscar.wmo.int/variables/view/sea_surface_salinity",pCO2,"Ocean","Salinity of sea water in the surface layer (upper ~ 1 m if observed in MW).  In the open ocean the correct term should be  “halinity” with reference of the diversity of salts involved."
"Oceans",,"https://space.oscar.wmo.int/variables/view/colour_dissolved_organic_matter_cdom",Ocean chlorophyll concentration,"Ocean","Optically measurable component of the dissolved organic matter in water."
"Oceans",,"https://space.oscar.wmo.int/variables/view/pco2",Ionospheric plasma density,"Ocean","Partial pressure of carbon dioxide at the surface of the sea"
"Oceans",,"https://space.oscar.wmo.int/variables/view/dissolved_inorganic_carbon_dic",Geomagnetic field,"Ocean","The cumulated concentration of inorganic carbon species (dissolved carbon dioxide, carbonic acid, bicarbonate and carbonate) in solution."
"Magnetosphere_Ionosphere",,"https://space.oscar.wmo.int/variables/view/ionospheric_plasma_density","Ionospheric plasma density","Ionospheric disturbances","Total number of ionized particles in a volume unit of ionospheric plasma"
"Magnetosphere_Ionosphere",,"https://space.oscar.wmo.int/variables/view/ionospheric_plasma_velocity","Ionospheric plasma velocity","Ionospheric disturbances","Velocity of bulk plasma or electrons (depending on measurement technique) as a function of altitude in the ionosphere."
"Magnetosphere_Ionosphere",,"https://space.oscar.wmo.int/variables/view/geomagnetic_field","Geomagnetic field","Solid Earth and magnetic field","Magnitude and direction of the 3D magnetic field on the surface of Earth and within the magnetosphere (i.e., in low-Earth orbit and in geosynchronous orbit)."
"Magnetosphere_Ionosphere",,"https://space.oscar.wmo.int/variables/view/gamma_ray_flux",Ionospheric plasma density,"Solar monitoring","Radiative flux integrated over the gamma-ray domain."
"Magnetosphere_Ionosphere",,"https://space.oscar.wmo.int/variables/view/gamma_ray_flux_spectrum",Geomagnetic field,"Solar monitoring","Energy spectrum of the radiative flux measured in the gamma-ray domain."
"Solid Earth",,"https://space.oscar.wmo.int/variables/view/gravity_field","Gravity field","Solid Earth and magnetic field","Indicative of the statics and dynamics of the lithosphere and the mantle - Physical unit: [ mGal ] where : 1 Gal = 0.01 m.s-2"
"Solid Earth",,"https://ngdc.noaa.gov/hazard/geotherm.shtml",Geomagnetic field,"Solid Earth and magnetic field","Geothermal energy is heat derived from Earth's interior. Resources include hot springs and wells, hot dry rock, and even molten rock. These may be converted into heat and electricity."
"Solid Earth",,"https://space.oscar.wmo.int/variables/view/geomagnetic_field",Geothermal energy,"Solid Earth and magnetic field","Magnitude and direction of the 3D magnetic field on the surface of Earth and within the magnetosphere (i.e., in low-Earth orbit and in geosynchronous orbit)."
"Solid Earth",,"https://space.oscar.wmo.int/variables/view/gravity_gradients",Gravity field,"Solid Earth and magnetic field","Gradient of the Earth’s gravity field measured at the satellite orbital height - Physical unit: [ E ] , Eötvös (1 E = 1 mGal / 10 km) - Accuracy unit: [ E ]."
